id;ngay_muon;han_tra;ngay_tra;trang_thai
1;2021-03-30T11:20:22;2021-03-30T10:31:12;2021-03-30T13:11:16;28323
2;2021-03-30T01:02:08;2021-03-30T12:02:38;2021-03-30T13:15:17;9754
3;2021-03-30T03:11:53;2021-03-30T02:30:33;2021-03-30T08:39:59;82313
4;2021-03-29T17:55:05;2021-03-29T22:21:03;2021-03-29T20:00:33;72773
5;2021-03-29T19:27:09;2021-03-29T15:57:55;2021-03-30T02:51:41;43276
6;2021-03-30T06:54:49;2021-03-29T23:45:10;2021-03-30T10:46:18;18805
7;2021-03-30T09:05:08;2021-03-30T09:40:15;2021-03-30T07:35:28;71453
8;2021-03-29T19:08:58;2021-03-29T19:28:17;2021-03-30T08:54:07;42021
9;2021-03-29T19:37:07;2021-03-30T10:53:42;2021-03-29T23:36:44;9931
10;2021-03-29T17:18:50;2021-03-30T03:24:53;2021-03-29T20:32:47;48144
